CM079351.1 NC_045152.1 chr1
NA NW_024880177.1 unplaced_scaffold640
NA NW_024880178.1 unplaced_scaffold641
NA NW_024880179.1 unplaced_scaffold642
NA NW_024880180.1 unplaced_scaffold643
NA NW_024880181.1 unplaced_scaffold644
NA NW_024880182.1 unplaced_scaffold645
NA NW_024880183.1 unplaced_scaffold646
NA NW_024880184.1 unplaced_scaffold647
NA NW_024880185.1 unplaced_scaffold648
NA NW_024880186.1 unplaced_scaffold649
NA NW_024880187.1 unplaced_scaffold650
NA NW_024880188.1 unplaced_scaffold651
NA NW_024880189.1 unplaced_scaffold652
NA NW_024880190.1 unplaced_scaffold653
NA NW_024880191.1 unplaced_scaffold654
NA NW_024880192.1 unplaced_scaffold655
NA NW_024880193.1 unplaced_scaffold656
NA NW_024880194.1 unplaced_scaffold657
NA NW_024880195.1 unplaced_scaffold658
NA NW_024880196.1 unplaced_scaffold659
NA NW_024880197.1 unplaced_scaffold660
NA NW_024880198.1 unplaced_scaffold661
NA NW_024880199.1 unplaced_scaffold662
NA NW_024880200.1 unplaced_scaffold663
NA NW_024880201.1 unplaced_scaffold664
NA NW_024880202.1 unplaced_scaffold665
NA NW_024880203.1 unplaced_scaffold666
NA NW_024880204.1 unplaced_scaffold667
NA NW_024880205.1 unplaced_scaffold668
NA NW_024880206.1 unplaced_scaffold669
NA NW_024880207.1 unplaced_scaffold670
NA NW_024880208.1 unplaced_scaffold671
NA NW_024880209.1 unplaced_scaffold672
NA NW_024880210.1 unplaced_scaffold673
NA NW_024880211.1 unplaced_scaffold674
NA NW_024880212.1 unplaced_scaffold675
NA NW_024880213.1 unplaced_scaffold676
NA NW_024880214.1 unplaced_scaffold677
NA NW_024880215.1 unplaced_scaffold678
NA NW_024880216.1 unplaced_scaffold679
NA NW_024880217.1 unplaced_scaffold680
NA NW_024880218.1 unplaced_scaffold681
NA NW_024880219.1 unplaced_scaffold682
NA NW_024880220.1 unplaced_scaffold683
NA NW_024880221.1 unplaced_scaffold684
NA NW_024880222.1 unplaced_scaffold685
NA NW_024880223.1 unplaced_scaffold686
NA NW_024880224.1 unplaced_scaffold687
NA NW_024880225.1 unplaced_scaffold688
NA NW_024880226.1 unplaced_scaffold689
NA NW_024880227.1 unplaced_scaffold690
NA NW_024880228.1 unplaced_scaffold691
NA NW_024880229.1 unplaced_scaffold692
NA NW_024880230.1 unplaced_scaffold693
NA NW_024880231.1 unplaced_scaffold694
NA NW_024880232.1 unplaced_scaffold695
NA NW_024880233.1 unplaced_scaffold696
NA NW_024880234.1 unplaced_scaffold697
NA NW_024880235.1 unplaced_scaffold698
NA NW_024880236.1 unplaced_scaffold699
NA NW_024880237.1 unplaced_scaffold700
NA NW_024880238.1 unplaced_scaffold701
NA NW_024880239.1 unplaced_scaffold702
NA NW_024880240.1 unplaced_scaffold703
NA NW_024880241.1 unplaced_scaffold704
NA NW_024880242.1 unplaced_scaffold705
NA NW_024880243.1 unplaced_scaffold706
NA NW_024880244.1 unplaced_scaffold707
NA NW_024880245.1 unplaced_scaffold708
NA NW_024880246.1 unplaced_scaffold709
NA NW_024880247.1 unplaced_scaffold710
NA NW_024880248.1 unplaced_scaffold711
NA NW_024880249.1 unplaced_scaffold712
NA NW_024880250.1 unplaced_scaffold713
NA NW_024880251.1 unplaced_scaffold714
NA NW_024880252.1 unplaced_scaffold715
NA NW_024880253.1 unplaced_scaffold716
NA NW_024880254.1 unplaced_scaffold717
NA NW_024880255.1 unplaced_scaffold718
NA NW_024880256.1 unplaced_scaffold719
NA NW_024880257.1 unplaced_scaffold720
NA NW_024880258.1 unplaced_scaffold721
NA NW_024880259.1 unplaced_scaffold722
NA NW_024880260.1 unplaced_scaffold723
NA NW_024880261.1 unplaced_scaffold724
NA NW_024880262.1 unplaced_scaffold725
NA NW_024880263.1 unplaced_scaffold726
NA NW_024880264.1 unplaced_scaffold727
NA NW_024880265.1 unplaced_scaffold728
NA NW_024880266.1 unplaced_scaffold729
NA NW_024880267.1 unplaced_scaffold730
NA NW_024880268.1 unplaced_scaffold731
NA NW_024880269.1 unplaced_scaffold732
NA NW_024880270.1 unplaced_scaffold733
NA NW_024880271.1 unplaced_scaffold734
NA NW_024880272.1 unplaced_scaffold735
NA NW_024880273.1 unplaced_scaffold736
NA NW_024880274.1 unplaced_scaffold737
NA NW_024880275.1 unplaced_scaffold738
NA NW_024880276.1 unplaced_scaffold739
NA NW_024880277.1 unplaced_scaffold740
NA NW_024880278.1 unplaced_scaffold741
NA NW_024880279.1 unplaced_scaffold742
NA NW_024880280.1 unplaced_scaffold743
NA NW_024880281.1 unplaced_scaffold744
NA NW_024880282.1 unplaced_scaffold745
NA NW_024880283.1 unplaced_scaffold746
NA NW_024880284.1 unplaced_scaffold747
NA NW_024880285.1 unplaced_scaffold748
NA NW_024880286.1 unplaced_scaffold749
NA NW_024880287.1 unplaced_scaffold750
NA NW_024880288.1 unplaced_scaffold751
NA NW_024880289.1 unplaced_scaffold752
NA NW_024880290.1 unplaced_scaffold753
NA NW_024880291.1 unplaced_scaffold754
NA NW_024880292.1 unplaced_scaffold755
NA NW_024880293.1 unplaced_scaffold756
NA NW_024880294.1 unplaced_scaffold757
NA NW_024880295.1 unplaced_scaffold758
NA NW_024880296.1 unplaced_scaffold759
NA NW_024880297.1 unplaced_scaffold760
NA NW_024880298.1 unplaced_scaffold761
NA NW_024880299.1 unplaced_scaffold762
NA NW_024880300.1 unplaced_scaffold763
NA NW_024880301.1 unplaced_scaffold764
NA NW_024880302.1 unplaced_scaffold765
NA NW_024880303.1 unplaced_scaffold766
NA NW_024880304.1 unplaced_scaffold767
NA NW_024880305.1 unplaced_scaffold768
NA NW_024880306.1 unplaced_scaffold769
NA NW_024880307.1 unplaced_scaffold770
NA NW_024880308.1 unplaced_scaffold771
NA NW_024880309.1 unplaced_scaffold772
NA NW_024880310.1 unplaced_scaffold773
NA NW_024880311.1 unplaced_scaffold774
NA NW_024880312.1 unplaced_scaffold775
NA NW_024880313.1 unplaced_scaffold776
NA NW_024880314.1 unplaced_scaffold777
NA NW_024880315.1 unplaced_scaffold778
NA NW_024880316.1 unplaced_scaffold779
NA NW_024880317.1 unplaced_scaffold780
NA NW_024880318.1 unplaced_scaffold781
NA NW_024880319.1 unplaced_scaffold782
NA NW_024880320.1 unplaced_scaffold783
NA NW_024880321.1 unplaced_scaffold784
NA NW_024880322.1 unplaced_scaffold785
NA NW_024880323.1 unplaced_scaffold786
NA NW_024880324.1 unplaced_scaffold787
NA NW_024880325.1 unplaced_scaffold788
NA NW_024880326.1 unplaced_scaffold789
NA NW_024880327.1 unplaced_scaffold790
NA NW_024880328.1 unplaced_scaffold791
NA NW_024880329.1 unplaced_scaffold792
NA NW_024880330.1 unplaced_scaffold793
NA NW_024880331.1 unplaced_scaffold794
NA NW_024880332.1 unplaced_scaffold795
NA NW_024880333.1 unplaced_scaffold796
NA NW_024880334.1 unplaced_scaffold797
NA NW_024880335.1 unplaced_scaffold798
NA NW_024880336.1 unplaced_scaffold799
NA NW_024880337.1 unplaced_scaffold800
NA NW_024880338.1 unplaced_scaffold801
NA NW_024880339.1 unplaced_scaffold802
NA NW_024880340.1 unplaced_scaffold803
NA NW_024880341.1 unplaced_scaffold804
NA NW_024880342.1 unplaced_scaffold805
NA NW_024880343.1 unplaced_scaffold806
NA NW_024880344.1 unplaced_scaffold807
NA NW_024880345.1 unplaced_scaffold808
NA NW_024880346.1 unplaced_scaffold809
NA NW_024880347.1 unplaced_scaffold810
NA NW_024880348.1 unplaced_scaffold811
NA NW_024880349.1 unplaced_scaffold812
NA NW_024880350.1 unplaced_scaffold813
NA NW_024880351.1 unplaced_scaffold814
NA NW_024880352.1 unplaced_scaffold815
NA NW_024880353.1 unplaced_scaffold816
NA NW_024880354.1 unplaced_scaffold817
NA NW_024880355.1 unplaced_scaffold818
NA NW_024880356.1 unplaced_scaffold819
NA NW_024880357.1 unplaced_scaffold820
NA NW_024880358.1 unplaced_scaffold821
NA NW_024880359.1 unplaced_scaffold822
NA NW_024880360.1 unplaced_scaffold823
NA NW_024880361.1 unplaced_scaffold824
NA NW_024880362.1 unplaced_scaffold825
NA NW_024880363.1 unplaced_scaffold826
NA NW_024880364.1 unplaced_scaffold827
NA NW_024880365.1 unplaced_scaffold828
NA NW_024880366.1 unplaced_scaffold829
NA NW_024880367.1 unplaced_scaffold830
NA NW_024880368.1 unplaced_scaffold831
NA NW_024880369.1 unplaced_scaffold832
NA NW_024880370.1 unplaced_scaffold833
NA NW_024880371.1 unplaced_scaffold834
NA NW_024880372.1 unplaced_scaffold835
NA NW_024880373.1 unplaced_scaffold836
NA NW_024880374.1 unplaced_scaffold837
NA NW_024880375.1 unplaced_scaffold838
NA NW_024880376.1 unplaced_scaffold839
NA NW_024880377.1 unplaced_scaffold840
NA NW_024880378.1 unplaced_scaffold841
NA NW_024880379.1 unplaced_scaffold842
NA NW_024880380.1 unplaced_scaffold843
NA NW_024880381.1 unplaced_scaffold844
NA NW_024880382.1 unplaced_scaffold845
NA NW_024880383.1 unplaced_scaffold846
NA NW_024880384.1 unplaced_scaffold847
NA NW_024880385.1 unplaced_scaffold848
NA NW_024880386.1 unplaced_scaffold849
NA NW_024880387.1 unplaced_scaffold850
NA NW_024880388.1 unplaced_scaffold851
NA NW_024880389.1 unplaced_scaffold852
NA NW_024880390.1 unplaced_scaffold853
NA NW_024880391.1 unplaced_scaffold854
NA NW_024880392.1 unplaced_scaffold855
NA NW_024880393.1 unplaced_scaffold856
NA NW_024880394.1 unplaced_scaffold857
NA NW_024880395.1 unplaced_scaffold858
NA NW_024880396.1 unplaced_scaffold859
NA NW_024880397.1 unplaced_scaffold860
NA NW_024880398.1 unplaced_scaffold861
NA NW_024880399.1 unplaced_scaffold862
NA NW_024880400.1 unplaced_scaffold863
NA NW_024880401.1 unplaced_scaffold864
NA NW_024880402.1 unplaced_scaffold865
NA NW_024880403.1 unplaced_scaffold866
NA NW_024880404.1 unplaced_scaffold867
NA NW_024880405.1 unplaced_scaffold868
NA NW_024880406.1 unplaced_scaffold869
NA NW_024880407.1 unplaced_scaffold870
NA NW_024880408.1 unplaced_scaffold871
NA NW_024880409.1 unplaced_scaffold872
NA NW_024880410.1 unplaced_scaffold873
NA NW_024880411.1 unplaced_scaffold874
NA NW_024880412.1 unplaced_scaffold875
NA NW_024880413.1 unplaced_scaffold876
NA NW_024880414.1 unplaced_scaffold877
NA NW_024880415.1 unplaced_scaffold878
NA NW_024880416.1 unplaced_scaffold879
NA NW_024880417.1 unplaced_scaffold880
NA NW_024880418.1 unplaced_scaffold881
NA NW_024880419.1 unplaced_scaffold882
NA NW_024880420.1 unplaced_scaffold883
NA NW_024880421.1 unplaced_scaffold884
NA NW_024880422.1 unplaced_scaffold885
NA NW_024880423.1 unplaced_scaffold886
NA NW_024880424.1 unplaced_scaffold887
NA NW_024880425.1 unplaced_scaffold888
NA NW_024880426.1 unplaced_scaffold889
NA NW_024880427.1 unplaced_scaffold890
NA NW_024880428.1 unplaced_scaffold891
NA NW_024880429.1 unplaced_scaffold892
NA NW_024880430.1 unplaced_scaffold893
NA NW_024880431.1 unplaced_scaffold894
NA NW_024880432.1 unplaced_scaffold895
NA NW_024880433.1 unplaced_scaffold896
NA NW_024880434.1 unplaced_scaffold897
NA NW_024880435.1 unplaced_scaffold898
NA NW_024880436.1 unplaced_scaffold899
NA NW_024880437.1 unplaced_scaffold900
NA NW_024880438.1 unplaced_scaffold901
NA NW_024880439.1 unplaced_scaffold902
NA NW_024880440.1 unplaced_scaffold903
NA NW_024880441.1 unplaced_scaffold904
NA NW_024880442.1 unplaced_scaffold905
NA NW_024880443.1 unplaced_scaffold906
NA NW_024880444.1 unplaced_scaffold907
NA NW_024880445.1 unplaced_scaffold908
NA NW_024880446.1 unplaced_scaffold909
NA NW_024880447.1 unplaced_scaffold910
NA NW_024880448.1 unplaced_scaffold911
NA NW_024880449.1 unplaced_scaffold912
NA NW_024880450.1 unplaced_scaffold913
NA NW_024880451.1 unplaced_scaffold914
NA NW_024880452.1 unplaced_scaffold915
NA NW_024880453.1 unplaced_scaffold916
NA NW_024880454.1 unplaced_scaffold917
NA NW_024880455.1 unplaced_scaffold918
NA NW_024880456.1 unplaced_scaffold919
NA NW_024880457.1 unplaced_scaffold920
NA NW_024880458.1 unplaced_scaffold921
NA NW_024880459.1 unplaced_scaffold922
NA NW_024880460.1 unplaced_scaffold923
NA NW_024880461.1 unplaced_scaffold924
NA NW_024880462.1 unplaced_scaffold925
NA NW_024880463.1 unplaced_scaffold926
NA NW_024880464.1 unplaced_scaffold927
NA NW_024880465.1 unplaced_scaffold928
NA NW_024880466.1 unplaced_scaffold929
NA NW_024880467.1 unplaced_scaffold930
NA NW_024880468.1 unplaced_scaffold931
NA NW_024880469.1 unplaced_scaffold932
NA NW_024880470.1 unplaced_scaffold933
NA NW_024880471.1 unplaced_scaffold934
NA NW_024880472.1 unplaced_scaffold935
NA NW_024880473.1 unplaced_scaffold936
NA NW_024880474.1 unplaced_scaffold937
NA NW_024880475.1 unplaced_scaffold938
NA NW_024880476.1 unplaced_scaffold939
NA NW_024880477.1 unplaced_scaffold940
NA NW_024880478.1 unplaced_scaffold941
NA NW_024880479.1 unplaced_scaffold942
NA NW_024880480.1 unplaced_scaffold943
NA NW_024880481.1 unplaced_scaffold944
NA NW_024880482.1 unplaced_scaffold945
NA NW_024880483.1 unplaced_scaffold946
NA NW_024880484.1 unplaced_scaffold947
NA NW_024880485.1 unplaced_scaffold948
NA NW_024880486.1 unplaced_scaffold949
NA NW_024880487.1 unplaced_scaffold950
NA NW_024880488.1 unplaced_scaffold951
NA NW_024880489.1 unplaced_scaffold952
NA NW_024880490.1 unplaced_scaffold953
NA NW_024880491.1 unplaced_scaffold954
NA NW_024880492.1 unplaced_scaffold955
NA NW_024880493.1 unplaced_scaffold956
NA NW_024880494.1 unplaced_scaffold957
NA NW_024880495.1 unplaced_scaffold958
NA NW_024880496.1 unplaced_scaffold959
NA NW_024880497.1 unplaced_scaffold960
NA NW_024880498.1 unplaced_scaffold961
NA NW_024880499.1 unplaced_scaffold962
NA NW_024880500.1 unplaced_scaffold963
NA NW_024880501.1 unplaced_scaffold964
NA NW_024880502.1 unplaced_scaffold965
NA NW_024880503.1 unplaced_scaffold966
NA NW_024880504.1 unplaced_scaffold967
NA NW_024880505.1 unplaced_scaffold968
NA NW_024880506.1 unplaced_scaffold969
NA NW_024880507.1 unplaced_scaffold970
NA NW_024880508.1 unplaced_scaffold971
NA NW_024880509.1 unplaced_scaffold972
NA NW_024880510.1 unplaced_scaffold973
NA NW_024880511.1 unplaced_scaffold974
NA NW_024880512.1 unplaced_scaffold975
NA NW_024880513.1 unplaced_scaffold976
NA NW_024880514.1 unplaced_scaffold977
NA NW_024880515.1 unplaced_scaffold978
NA NW_024880516.1 unplaced_scaffold979
NA NW_024880517.1 unplaced_scaffold980
NA NW_024880518.1 unplaced_scaffold981
NA NW_024880519.1 unplaced_scaffold982
NA NW_024880520.1 unplaced_scaffold983
NA NW_024880521.1 unplaced_scaffold984
NA NW_024880522.1 unplaced_scaffold985
NA NW_024880523.1 unplaced_scaffold986
NA NW_024880524.1 unplaced_scaffold987
NA NW_024880525.1 unplaced_scaffold988
NA NW_024880526.1 unplaced_scaffold989
NA NW_024880527.1 unplaced_scaffold990
NA NW_024880528.1 unplaced_scaffold991
NA NW_024880529.1 unplaced_scaffold992
NA NW_024880530.1 unplaced_scaffold993
NA NW_024880531.1 unplaced_scaffold994
NA NW_024880532.1 unplaced_scaffold995
NA NW_024880533.1 unplaced_scaffold996
NA NW_024880534.1 unplaced_scaffold997
NA NW_024880535.1 unplaced_scaffold998
NA NW_024880536.1 unplaced_scaffold999
NA NW_024880537.1 unplaced_scaffold1000
NA NW_024880538.1 unplaced_scaffold1001
NA NW_024880539.1 unplaced_scaffold1002
NA NW_024880540.1 unplaced_scaffold1003
NA NW_024880541.1 unplaced_scaffold1004
NA NW_024880542.1 unplaced_scaffold1005
NA NW_024880543.1 unplaced_scaffold1006
NA NW_024880544.1 unplaced_scaffold1007
NA NW_024880545.1 unplaced_scaffold1008
NA NW_024880546.1 unplaced_scaffold1009
NA NW_024880547.1 unplaced_scaffold1010
NA NW_024880548.1 unplaced_scaffold1011
NA NW_024880549.1 unplaced_scaffold1012
NA NW_024880550.1 unplaced_scaffold1013
NA NW_024880551.1 unplaced_scaffold1014
NA NW_024880552.1 unplaced_scaffold1015
NA NW_024880553.1 unplaced_scaffold1016
NA NW_024880554.1 unplaced_scaffold1017
NA NW_024880555.1 unplaced_scaffold1018
NA NW_024880556.1 unplaced_scaffold1019
NA NW_024880557.1 unplaced_scaffold1020
NA NW_024880558.1 unplaced_scaffold1021
NA NW_024880559.1 unplaced_scaffold1022
NA NW_024880560.1 unplaced_scaffold1023
NA NW_024880561.1 unplaced_scaffold1024
NA NW_024880562.1 unplaced_scaffold1025
NA NW_024880563.1 unplaced_scaffold1026
NA NW_024880564.1 unplaced_scaffold1027
NA NW_024880565.1 unplaced_scaffold1028
NA NW_024880566.1 unplaced_scaffold1029
NA NW_024880567.1 unplaced_scaffold1030
NA NW_024880568.1 unplaced_scaffold1031
NA NW_024880569.1 unplaced_scaffold1032
NA NW_024880570.1 unplaced_scaffold1033
NA NW_024880571.1 unplaced_scaffold1034
NA NW_024880572.1 unplaced_scaffold1035
NA NW_024880573.1 unplaced_scaffold1036
NA NW_024880574.1 unplaced_scaffold1037
NA NW_024880575.1 unplaced_scaffold1038
NA NW_024880576.1 unplaced_scaffold1039
NA NW_024880577.1 unplaced_scaffold1040
NA NW_024880578.1 unplaced_scaffold1041
NA NW_024880579.1 unplaced_scaffold1042
NA NW_024880580.1 unplaced_scaffold1043
NA NW_024880581.1 unplaced_scaffold1044
NA NW_024880582.1 unplaced_scaffold1045
NA NW_024880583.1 unplaced_scaffold1046
NA NW_024880584.1 unplaced_scaffold1047
NA NW_024880585.1 unplaced_scaffold1048
NA NW_024880586.1 unplaced_scaffold1049
NA NW_024880587.1 unplaced_scaffold1050
NA NW_024880588.1 unplaced_scaffold1051
NA NW_024880589.1 unplaced_scaffold1052
NA NW_024880590.1 unplaced_scaffold1053
NA NW_024880591.1 unplaced_scaffold1054
NA NW_024880592.1 unplaced_scaffold1055
NA NW_024880593.1 unplaced_scaffold1056
NA NW_024880594.1 unplaced_scaffold1057
NA NW_024880595.1 unplaced_scaffold1058
NA NW_024880596.1 unplaced_scaffold1059
NA NW_024880597.1 unplaced_scaffold1060
NA NW_024880598.1 unplaced_scaffold1061
NA NW_024880599.1 unplaced_scaffold1062
NA NW_024880600.1 unplaced_scaffold1063
NA NW_024880601.1 unplaced_scaffold1064
NA NW_024880602.1 unplaced_scaffold1065
NA NW_024880603.1 unplaced_scaffold1066
NA NW_024880604.1 unplaced_scaffold1067
NA NW_024880605.1 unplaced_scaffold1068
NA NW_024880606.1 unplaced_scaffold1069
NA NW_024880607.1 unplaced_scaffold1070
NA NW_024880608.1 unplaced_scaffold1071
NA NW_024880609.1 unplaced_scaffold1072
NA NW_024880610.1 unplaced_scaffold1073
NA NW_024880611.1 unplaced_scaffold1074
NA NW_024880612.1 unplaced_scaffold1075
NA NW_024880613.1 unplaced_scaffold1076
NA NW_024880614.1 unplaced_scaffold1077
NA NW_024880615.1 unplaced_scaffold1078
NA NW_024880616.1 unplaced_scaffold1079
NA NW_024880617.1 unplaced_scaffold1080
NA NW_024880618.1 unplaced_scaffold1081
NA NW_024880619.1 unplaced_scaffold1082
NA NW_024880620.1 unplaced_scaffold1083
NA NW_024880621.1 unplaced_scaffold1084
NA NW_024880622.1 unplaced_scaffold1085
NA NW_024880623.1 unplaced_scaffold1086
NA NW_024880624.1 unplaced_scaffold1087
NA NW_024880625.1 unplaced_scaffold1088
NA NW_024880626.1 unplaced_scaffold1089
NA NW_024880627.1 unplaced_scaffold1090
NA NW_024880628.1 unplaced_scaffold1091
NA NW_024880629.1 unplaced_scaffold1092
NA NW_024880630.1 unplaced_scaffold1093
NA NW_024880631.1 unplaced_scaffold1094
NA NW_024880632.1 unplaced_scaffold1095
NA NW_024880633.1 unplaced_scaffold1096
NA NW_024880634.1 unplaced_scaffold1097
NA NW_024880635.1 unplaced_scaffold1098
NA NW_024880636.1 unplaced_scaffold1099
NA NW_024880637.1 unplaced_scaffold1100
NA NW_024880638.1 unplaced_scaffold1101
NA NW_024880639.1 unplaced_scaffold1102
NA NW_024880640.1 unplaced_scaffold1103
NA NW_024880641.1 unplaced_scaffold1104
NA NW_024880642.1 unplaced_scaffold1105
NA NW_024880643.1 unplaced_scaffold1106
NA NW_024880644.1 unplaced_scaffold1107
NA NW_024880645.1 unplaced_scaffold1108
NA NW_024880646.1 unplaced_scaffold1109
NA NW_024880647.1 unplaced_scaffold1110
NA NW_024880648.1 unplaced_scaffold1111
NA NW_024880649.1 unplaced_scaffold1112
NA NW_024880650.1 unplaced_scaffold1113
NA NW_024880651.1 unplaced_scaffold1114
NA NW_024880652.1 unplaced_scaffold1115
NA NW_024880653.1 unplaced_scaffold1116
NA NW_024880654.1 unplaced_scaffold1117
NA NW_024880655.1 unplaced_scaffold1118
NA NW_024880656.1 unplaced_scaffold1119
NA NW_024880657.1 unplaced_scaffold1120
NA NW_024880658.1 unplaced_scaffold1121
NA NW_024880659.1 unplaced_scaffold1122
NA NW_024880660.1 unplaced_scaffold1123
NA NW_024880661.1 unplaced_scaffold1124
NA NW_024880662.1 unplaced_scaffold1125
NA NW_024880663.1 unplaced_scaffold1126
NA NW_024880664.1 unplaced_scaffold1127
NA NW_024880665.1 unplaced_scaffold1128
NA NW_024880666.1 unplaced_scaffold1129
NA NW_024880667.1 unplaced_scaffold1130
NA NW_024880668.1 unplaced_scaffold1131
NA NW_024880669.1 unplaced_scaffold1132
NA NW_024880670.1 unplaced_scaffold1133
NA NW_024880671.1 unplaced_scaffold1134
NA NW_024880672.1 unplaced_scaffold1135
NA NW_024880673.1 unplaced_scaffold1136
NA NW_024880674.1 unplaced_scaffold1137
NA NW_024880675.1 unplaced_scaffold1138
NA NW_024880676.1 unplaced_scaffold1139
NA NW_024880677.1 unplaced_scaffold1140
NA NW_024880678.1 unplaced_scaffold1141
NA NW_024880679.1 unplaced_scaffold1142
NA NW_024880680.1 unplaced_scaffold1143
NA NW_024880681.1 unplaced_scaffold1144
NA NW_024880682.1 unplaced_scaffold1145
NA NW_024880683.1 unplaced_scaffold1146
NA NW_024880684.1 unplaced_scaffold1147
NA NW_024880685.1 unplaced_scaffold1148
NA NW_024880686.1 unplaced_scaffold1149
NA NW_024880687.1 unplaced_scaffold1150
NA NW_024880688.1 unplaced_scaffold1151
NA NW_024880689.1 unplaced_scaffold1152
NA NW_024880690.1 unplaced_scaffold1153
NA NW_024880691.1 unplaced_scaffold1154
NA NW_024880692.1 unplaced_scaffold1155
NA NW_024880693.1 unplaced_scaffold1156
NA NW_024880694.1 unplaced_scaffold1157
NA NW_024880695.1 unplaced_scaffold1158
NA NW_024880696.1 unplaced_scaffold1159
NA NW_024880697.1 unplaced_scaffold1160
NA NW_024880698.1 unplaced_scaffold1161
NA NW_024880699.1 unplaced_scaffold1162
NA NW_024880700.1 unplaced_scaffold1163
NA NW_024880701.1 unplaced_scaffold1164
NA NW_024880702.1 unplaced_scaffold1165
NA NW_024880703.1 unplaced_scaffold1166
NA NW_024880704.1 unplaced_scaffold1167
NA NW_024880705.1 unplaced_scaffold1168
NA NW_024880706.1 unplaced_scaffold1169
NA NW_024880707.1 unplaced_scaffold1170
NA NW_024880708.1 unplaced_scaffold1171
NA NW_024880709.1 unplaced_scaffold1172
NA NW_024880710.1 unplaced_scaffold1173
NA NW_024880711.1 unplaced_scaffold1174
NA NW_024880712.1 unplaced_scaffold1175
NA NW_024880713.1 unplaced_scaffold1176
NA NW_024880714.1 unplaced_scaffold1177
NA NW_024880715.1 unplaced_scaffold1178
NA NW_024880716.1 unplaced_scaffold1179
NA NW_024880717.1 unplaced_scaffold1180
NA NW_024880718.1 unplaced_scaffold1181
NA NW_024880719.1 unplaced_scaffold1182
NA NW_024880720.1 unplaced_scaffold1183
NA NW_024880721.1 unplaced_scaffold1184
NA NW_024880722.1 unplaced_scaffold1185
NA NW_024880723.1 unplaced_scaffold1186
NA NW_024880724.1 unplaced_scaffold1187
NA NW_024880725.1 unplaced_scaffold1188
NA NW_024880726.1 unplaced_scaffold1189
NA NW_024880727.1 unplaced_scaffold1190
NA NW_024880728.1 unplaced_scaffold1191
NA NW_024880729.1 unplaced_scaffold1192
NA NW_024880730.1 unplaced_scaffold1193
NA NW_024880731.1 unplaced_scaffold1194
NA NW_024880732.1 unplaced_scaffold1195
NA NW_024880733.1 unplaced_scaffold1196
NA NW_024880734.1 unplaced_scaffold1197
NA NW_024880735.1 unplaced_scaffold1198
NA NW_024880736.1 unplaced_scaffold1199
NA NW_024880737.1 unplaced_scaffold1200
NA NW_024880738.1 unplaced_scaffold1201
NA NW_024880739.1 unplaced_scaffold1202
NA NW_024880740.1 unplaced_scaffold1203
NA NW_024880741.1 unplaced_scaffold1204
NA NW_024880742.1 unplaced_scaffold1205
NA NW_024880743.1 unplaced_scaffold1206
NA NW_024880744.1 unplaced_scaffold1207
NA NW_024880745.1 unplaced_scaffold1208
NA NW_024880746.1 unplaced_scaffold1209
NA NW_024880747.1 unplaced_scaffold1210
NA NW_024880748.1 unplaced_scaffold1211
NA NW_024880749.1 unplaced_scaffold1212
NA NW_024880750.1 unplaced_scaffold1213
NA NW_024880751.1 unplaced_scaffold1214
NA NW_024880752.1 unplaced_scaffold1215
NA NW_024880753.1 unplaced_scaffold1216
NA NW_024880754.1 unplaced_scaffold1217
NA NW_024880755.1 unplaced_scaffold1218
NA NW_024880756.1 unplaced_scaffold1219
NA NW_024880757.1 unplaced_scaffold1220
NA NW_024880758.1 unplaced_scaffold1221
NA NW_024880759.1 unplaced_scaffold1222
NA NW_024880760.1 unplaced_scaffold1223
NA NW_024880761.1 unplaced_scaffold1224
NA NW_024880762.1 unplaced_scaffold1225
NA NW_024880763.1 unplaced_scaffold1226
NA NW_024880764.1 unplaced_scaffold1227
NA NW_024880765.1 unplaced_scaffold1228
NA NW_024880766.1 unplaced_scaffold1229
NA NW_024880767.1 unplaced_scaffold1230
NA NW_024880768.1 unplaced_scaffold1231
NA NW_024880769.1 unplaced_scaffold1232
NA NW_024880770.1 unplaced_scaffold1233
NA NW_024880771.1 unplaced_scaffold1234
NA NW_024880772.1 unplaced_scaffold1235
NA NW_024880773.1 unplaced_scaffold1236
NA NW_024880774.1 unplaced_scaffold1237
NA NW_024880775.1 unplaced_scaffold1238
NA NW_024880776.1 unplaced_scaffold1239
NA NW_024880777.1 unplaced_scaffold1240
NA NW_024880778.1 unplaced_scaffold1241
NA NW_024880779.1 unplaced_scaffold1242
NA NW_024880780.1 unplaced_scaffold1243
NA NW_024880781.1 unplaced_scaffold1244
NA NW_024880782.1 unplaced_scaffold1245
NA NW_024880783.1 unplaced_scaffold1246
NA NW_024880784.1 unplaced_scaffold1247
NA NW_024880785.1 unplaced_scaffold1248
NA NW_024880786.1 unplaced_scaffold1249
NA NW_024880787.1 unplaced_scaffold1250
NA NW_024880788.1 unplaced_scaffold1251
NA NW_024880789.1 unplaced_scaffold1252
NA NW_024880790.1 unplaced_scaffold1253
NA NW_024880791.1 unplaced_scaffold1254
NA NW_024880792.1 unplaced_scaffold1255
NA NW_024880793.1 unplaced_scaffold1256
NA NW_024880794.1 unplaced_scaffold1257
NA NW_024880795.1 unplaced_scaffold1258
NA NW_024880796.1 unplaced_scaffold1259
NA NW_024880797.1 unplaced_scaffold1260
NA NW_024880798.1 unplaced_scaffold1261
NA NW_024880799.1 unplaced_scaffold1262
